IDRestaurant,rating_group,count_rating,total_count,Rating_Percent
1,0,0,95,0.0
1,[1-2],19,95,20.0
1,[2-3],2,95,2.1
1,[3-4],2,95,2.1
1,[4-5],5,95,5.3
1,[5-6],5,95,5.3
1,[6-7],9,95,9.5
1,[7-8],16,95,16.8
1,[8-9],27,95,28.4
1,[9-10],6,95,6.3
1,10,4,95,4.2
2,0,0,1,0.0
2,[1-2],0,1,0.0
2,[2-3],0,1,0.0
2,[3-4],0,1,0.0
2,[4-5],0,1,0.0
2,[5-6],1,1,100.0
2,[6-7],0,1,0.0
2,[7-8],0,1,0.0
2,[8-9],0,1,0.0
2,[9-10],0,1,0.0
2,10,0,1,0.0
3,0,0,95,0.0
3,[1-2],7,95,7.4
3,[2-3],6,95,6.3
3,[3-4],5,95,5.3
3,[4-5],12,95,12.6
3,[5-6],4,95,4.2
3,[6-7],3,95,3.2
3,[7-8],26,95,27.4
3,[8-9],23,95,24.2
3,[9-10],9,95,9.5
3,10,0,95,0.0
4,0,0,14,0.0
4,[1-2],4,14,28.6
4,[2-3],1,14,7.1
4,[3-4],1,14,7.1
4,[4-5],0,14,0.0
4,[5-6],0,14,0.0
4,[6-7],2,14,14.3
4,[7-8],0,14,0.0
4,[8-9],3,14,21.4
4,[9-10],2,14,14.3
4,10,1,14,7.1
5,0,0,20,0.0
5,[1-2],0,20,0.0
5,[2-3],1,20,5.0
5,[3-4],3,20,15.0
5,[4-5],1,20,5.0
5,[5-6],0,20,0.0
5,[6-7],1,20,5.0
5,[7-8],3,20,15.0
5,[8-9],3,20,15.0
5,[9-10],6,20,30.0
5,10,2,20,10.0
6,0,0,14,0.0
6,[1-2],4,14,28.6
6,[2-3],0,14,0.0
6,[3-4],0,14,0.0
6,[4-5],3,14,21.4
6,[5-6],1,14,7.1
6,[6-7],0,14,0.0
6,[7-8],2,14,14.3
6,[8-9],3,14,21.4
6,[9-10],1,14,7.1
6,10,0,14,0.0
7,0,0,100,0.0
7,[1-2],2,100,2.0
7,[2-3],1,100,1.0
7,[3-4],2,100,2.0
7,[4-5],3,100,3.0
7,[5-6],6,100,6.0
7,[6-7],8,100,8.0
7,[7-8],37,100,37.0
7,[8-9],34,100,34.0
7,[9-10],6,100,6.0
7,10,1,100,1.0
8,0,0,4,0.0
8,[1-2],0,4,0.0
8,[2-3],0,4,0.0
8,[3-4],0,4,0.0
8,[4-5],0,4,0.0
8,[5-6],0,4,0.0
8,[6-7],0,4,0.0
8,[7-8],1,4,25.0
8,[8-9],2,4,50.0
8,[9-10],1,4,25.0
8,10,0,4,0.0
9,0,0,25,0.0
9,[1-2],0,25,0.0
9,[2-3],1,25,4.0
9,[3-4],1,25,4.0
9,[4-5],2,25,8.0
9,[5-6],0,25,0.0
9,[6-7],3,25,12.0
9,[7-8],13,25,52.0
9,[8-9],3,25,12.0
9,[9-10],2,25,8.0
9,10,0,25,0.0
11,0,0,45,0.0
11,[1-2],0,45,0.0
11,[2-3],0,45,0.0
11,[3-4],0,45,0.0
11,[4-5],0,45,0.0
11,[5-6],0,45,0.0
11,[6-7],0,45,0.0
11,[7-8],0,45,0.0
11,[8-9],3,45,6.7
11,[9-10],21,45,46.7
11,10,21,45,46.7
12,0,0,5,0.0
12,[1-2],0,5,0.0
12,[2-3],0,5,0.0
12,[3-4],0,5,0.0
12,[4-5],0,5,0.0
12,[5-6],0,5,0.0
12,[6-7],1,5,20.0
12,[7-8],0,5,0.0
12,[8-9],1,5,20.0
12,[9-10],1,5,20.0
12,10,2,5,40.0
13,0,0,36,0.0
13,[1-2],5,36,13.9
13,[2-3],1,36,2.8
13,[3-4],3,36,8.3
13,[4-5],0,36,0.0
13,[5-6],1,36,2.8
13,[6-7],1,36,2.8
13,[7-8],3,36,8.3
13,[8-9],8,36,22.2
13,[9-10],8,36,22.2
13,10,6,36,16.7
14,0,0,99,0.0
14,[1-2],8,99,8.1
14,[2-3],4,99,4.0
14,[3-4],9,99,9.1
14,[4-5],4,99,4.0
14,[5-6],2,99,2.0
14,[6-7],11,99,11.1
14,[7-8],21,99,21.2
14,[8-9],22,99,22.2
14,[9-10],16,99,16.2
14,10,2,99,2.0
15,0,0,3,0.0
15,[1-2],0,3,0.0
15,[2-3],0,3,0.0
15,[3-4],0,3,0.0
15,[4-5],0,3,0.0
15,[5-6],0,3,0.0
15,[6-7],0,3,0.0
15,[7-8],0,3,0.0
15,[8-9],0,3,0.0
